rank,rule,params,val_min_pr,val_fall_p,val_nfall_p,val_fall_r,val_nfall_r,val_fp,val_fn,test_min_pr,test_fall_p,test_nfall_p,test_fall_r,test_nfall_r,test_fp,test_fn
455,topk_mean,"{""threshold"": 0.5, ""top_k"": 3}",0.8604166666666667,0.9508797653958945,0.9239373601789709,0.9744552967693464,0.8604166666666667,67,34,0.8571428571428571,0.9492753623188406,0.9502262443438914,0.9834834834834835,0.8571428571428571,35,11
456,consecutive_count,"{""min_consecutive"": 1, ""min_count"": 5, ""threshold"": 0.425}",0.8604166666666667,0.9508076358296622,0.9198218262806236,0.9729526671675433,0.8604166666666667,67,36,0.8571428571428571,0.9493487698986975,0.9545454545454546,0.984984984984985,0.8571428571428571,35,10
457,consecutive_ratio,"{""min_consecutive"": 1, ""min_ratio"": 0.11, ""threshold"": 0.425}",0.8604166666666667,0.9508076358296622,0.9198218262806236,0.9729526671675433,0.8604166666666667,67,36,0.8571428571428571,0.9493487698986975,0.9545454545454546,0.984984984984985,0.8571428571428571,35,10
458,consecutive_count,"{""min_consecutive"": 2, ""min_count"": 5, ""threshold"": 0.425}",0.8604166666666667,0.9508076358296622,0.9198218262806236,0.9729526671675433,0.8604166666666667,67,36,0.8571428571428571,0.9493487698986975,0.9545454545454546,0.984984984984985,0.8571428571428571,35,10
459,consecutive_ratio,"{""min_consecutive"": 2, ""min_ratio"": 0.11, ""threshold"": 0.425}",0.8604166666666667,0.9508076358296622,0.9198218262806236,0.9729526671675433,0.8604166666666667,67,36,0.8571428571428571,0.9493487698986975,0.9545454545454546,0.984984984984985,0.8571428571428571,35,10
460,consecutive_count,"{""min_consecutive"": 3, ""min_count"": 5, ""threshold"": 0.425}",0.8604166666666667,0.9508076358296622,0.9198218262806236,0.9729526671675433,0.8604166666666667,67,36,0.8612244897959184,0.9507246376811594,0.9547511312217195,0.984984984984985,0.8612244897959184,34,10
461,consecutive_ratio,"{""min_consecutive"": 3, ""min_ratio"": 0.11, ""threshold"": 0.425}",0.8604166666666667,0.9508076358296622,0.9198218262806236,0.9729526671675433,0.8604166666666667,67,36,0.8612244897959184,0.9507246376811594,0.9547511312217195,0.984984984984985,0.8612244897959184,34,10
462,hysteresis,"{""high"": 0.525, ""low"": 0.475, ""min_consecutive"": 2}",0.8604166666666667,0.950735294117647,0.9157427937915743,0.97145003756574,0.8604166666666667,67,38,0.8612244897959184,0.9503649635036496,0.9336283185840708,0.9774774774774775,0.8612244897959184,34,15
463,hysteresis,"{""high"": 0.5, ""low"": 0.3, ""min_consecutive"": 7}",0.8604166666666667,0.9506990434142752,0.9137168141592921,0.9706987227648385,0.8604166666666667,67,39,0.8653061224489796,0.9518248175182482,0.9380530973451328,0.978978978978979,0.8653061224489796,33,14
464,hysteresis,"{""high"": 0.525, ""low"": 0.425, ""min_consecutive"": 3}",0.8604166666666667,0.9506990434142752,0.9137168141592921,0.9706987227648385,0.8604166666666667,67,39,0.8734693877551021,0.9545454545454546,0.9344978165938864,0.9774774774774775,0.8734693877551021,31,15
465,hysteresis,"{""high"": 0.525, ""low"": 0.325, ""min_consecutive"": 5}",0.8604166666666667,0.9506990434142752,0.9137168141592921,0.9706987227648385,0.8604166666666667,67,39,0.8734693877551021,0.9544787077826725,0.9304347826086956,0.975975975975976,0.8734693877551021,31,16
466,topk_mean,"{""threshold"": 0.525, ""top_k"": 2}",0.8604166666666667,0.9506263817243921,0.9096916299559471,0.9691960931630353,0.8604166666666667,67,41,0.8775510204081632,0.9558823529411765,0.9307359307359307,0.975975975975976,0.8775510204081632,30,16
467,consecutive,"{""min_consecutive"": 7, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
468,consecutive_count,"{""min_consecutive"": 7, ""min_count"": 2, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
469,consecutive_count,"{""min_consecutive"": 7, ""min_count"": 3, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
470,consecutive_count,"{""min_consecutive"": 7, ""min_count"": 4, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
471,consecutive_count,"{""min_consecutive"": 7, ""min_count"": 5, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
472,consecutive_count,"{""min_consecutive"": 7, ""min_count"": 6, ""threshold"": 0.375}",0.8604166666666667,0.9502967359050445,0.8920086393088553,0.9624342599549212,0.8604166666666667,67,50,0.8530612244897959,0.9477503628447025,0.9414414414414415,0.9804804804804805,0.8530612244897959,36,13
